date,B00074VZ9O,B00074VZAS,B0009YUFMK,B005W0O5JK,B07D7F2NYJ,B07D7J72XB,B07D7JLRY7,B07D7M6BGL,B07D7MW7YK,B07DH2T7W7,average
2020-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-02,1.0,0.9914163090128756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9991416309012877
2020-01-03,1.0,0.9914163090128756,1.0,1.0,1.0,0.9286875725900116,1.0,1.0,1.0,1.0,0.9920103881602887
2020-01-04,1.0,0.9914163090128756,1.0,1.000430848772081,1.0,1.0713124274099883,1.0,1.0,1.0,1.0,1.0063159585194945
2020-01-05,1.0,0.9914163090128756,1.0,1.000430848772081,1.0,1.0713124274099883,1.0,1.0,1.0,1.0,1.0063159585194945
2020-01-06,1.0,0.9910261412407335,1.0,1.000430848772081,1.0,1.0713124274099883,1.0,1.0,1.0,1.0,1.0062769417422803
2020-01-07,1.0,0.9910261412407335,1.0,0.9997845756139595,1.0,1.0713124274099883,1.0,1.0,1.0,1.0,1.006212314426468
2020-01-08,1.0,0.9910261412407335,1.0,1.000430848772081,1.0,1.0713124274099883,1.0,1.0,1.0,1.0,1.0062769417422803
2020-01-09,1.0,0.9910261412407335,1.0,1.0010771219302024,1.0,1.0713124274099883,1.0,1.0,1.0,1.0,1.0063415690580926
2020-01-10,1.0,0.9910261412407335,1.0,1.0010771219302024,1.0,1.0713124274099883,1.0,1.0,1.0,1.0,1.0063415690580926
2020-01-11,0.9736472241742797,0.9910261412407335,1.0,1.0010771219302024,1.0,1.0713124274099883,1.0,1.0,1.0,1.0,1.0037062914755204
2020-01-12,0.9736472241742797,0.8534920015606712,1.0,0.9976303317535544,1.0,1.0713124274099883,1.0,1.0,1.0,1.0,0.9896081984898494
2020-01-13,0.9736472241742797,0.8536870854467421,1.0,0.995260663507109,1.0,1.0713124274099883,1.0,1.0,1.0,1.0,0.9893907400538119
2020-01-14,0.9736472241742797,0.8532969176746001,1.0,0.995260663507109,1.0,0.9286875725900116,1.0,1.0,1.0,1.0,0.9750892377946002
2020-01-15,0.9736472241742797,0.8532969176746001,1.0,0.995260663507109,1.0,0.9286875725900116,1.0,1.0,1.0,1.0,0.9750892377946002
