date,B0037Z6VK8,B005CUTW8O,B005CUTWDE,B005CUTY4G,B00AINMFAC,B00BJCAPEE,B00GZQYK4K,B00ILBUEVK,B01782L0WO,B01BSB56OY,average
2020-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-02,1.0,1.0,1.0,1.0,1.0,1.0,0.974316024567281,1.0,1.0,1.0,0.997431602456728
2020-01-03,1.0,1.0,1.0,1.0,1.0,1.0,0.974316024567281,1.0,1.0,1.0,0.997431602456728
2020-01-04,1.0,1.0,1.0,1.0,1.0033806626098716,1.0,0.974316024567281,1.0,1.0,1.0,0.9977696687177152
2020-01-05,1.0,1.0,1.0,1.0,1.0033806626098716,1.0,0.974316024567281,1.0,1.0,0.5994993742177722,0.9577196061394926
2020-01-06,1.0,1.0,1.0,1.0,1.0033806626098716,1.0,0.8894472361809046,1.0,1.0,0.5994993742177722,0.9492327273008551
2020-01-07,1.0,1.0,1.0,1.0,1.0033806626098716,1.0,0.8894472361809046,1.0,1.0,0.5994993742177722,0.9492327273008551
2020-01-08,1.0,1.0,1.0,1.0,1.0033806626098716,1.0,0.8174204355108878,1.0,1.0,0.5994993742177722,0.9420300472338534
2020-01-09,1.0,1.0,1.0,1.0,1.0033806626098716,1.0,0.8174204355108878,1.0,1.0,0.5994993742177722,0.9420300472338534
2020-01-10,1.0,1.0,1.0,1.0,1.0033806626098716,1.0,0.8174204355108878,1.0,1.0,0.5994993742177722,0.9420300472338534
2020-01-11,1.0,0.6277602523659306,1.0,1.0,1.0033806626098716,1.0,0.8894472361809046,1.0,1.0,0.5994993742177722,0.912008752537448
2020-01-12,1.0,0.6277602523659306,1.0,1.0,1.0033806626098716,1.0,0.8894472361809046,1.0,1.0,0.5994993742177722,0.912008752537448
2020-01-13,1.0,1.8738170347003156,1.0,1.0,1.0033806626098716,1.0,0.8894472361809046,1.0,1.0,0.5994993742177722,1.0366144307708864
2020-01-14,1.0,1.5930599369085174,1.0,1.0,1.0033806626098716,1.0,0.695142378559464,1.0,1.0,0.5994993742177722,0.9891082352295626
2020-01-15,1.0,1.7791798107255525,1.0,1.0,1.0033806626098716,1.0,0.695142378559464,1.0,1.0,0.5994993742177722,1.0077202226112663
2020-01-16,1.0,1.7791798107255525,1.0,1.0,1.0033806626098716,1.0,0.5469011725293133,1.0,1.0,0.5994993742177722,0.9928961020082511
2020-01-17,1.0,1.7791798107255525,1.0,1.0,1.0033806626098716,1.0,0.7512562814070349,1.0,1.0,0.5994993742177722,1.0133316128960232
2020-01-18,1.0,1.7791798107255525,1.0,1.0,1.0033806626098716,1.0,0.9785594639865998,1.0,1.0,0.5994993742177722,1.0360619311539798
2020-01-19,1.0,1.7791798107255525,1.0,1.0,1.0033806626098716,1.0,0.974316024567281,1.0,1.0,0.5994993742177722,1.0356375872120478
2020-01-20,1.0,1.7791798107255525,1.0,1.0,1.0033806626098716,1.0,1.0,1.0,1.0,0.5994993742177722,1.0382059847553198
2020-01-21,1.0,1.7791798107255525,1.0,1.0,1.0033806626098716,1.0,0.9807370184254608,1.0,1.0,0.5994993742177722,1.0362796865978656
2020-01-22,1.0,1.7791798107255525,1.0,1.0,1.0033806626098716,1.0,0.974316024567281,1.0,1.0,0.5994993742177722,1.0356375872120478
2020-01-23,1.0,1.7791798107255525,1.0,1.0,1.0033806626098716,1.0,0.9871580122836405,1.0,1.0,0.5994993742177722,1.036921785983684
2020-01-24,1.0,1.7791798107255525,1.0,1.0,1.0033806626098716,1.0,0.9807370184254608,1.0,1.0,0.5994993742177722,1.0362796865978656
2020-01-25,1.0,1.7791798107255525,1.0,1.0,1.0033806626098716,1.0,0.9807370184254608,1.0,1.0,0.5994993742177722,1.0362796865978656
2020-01-26,1.0,1.7791798107255525,1.0,1.0,1.0033806626098716,1.0,0.9614740368509214,1.7510944340212633,1.0,0.5994993742177722,1.1094628318425381
