date,B00GB85JR4,B00GGBLPVU,B07BCX2YNG,average
2020-01-01,1.0,1.0,1.0,1.0
2020-01-02,0.9669781931464174,1.0,1.0,0.9889927310488057
2020-01-03,0.9669781931464174,1.0,1.0,0.9889927310488057
2020-01-04,0.9669781931464174,1.0,1.0,0.9889927310488057
2020-01-05,0.9669781931464174,1.0,1.0,0.9889927310488057
2020-01-06,0.9669781931464174,1.0,1.0,0.9889927310488057
2020-01-07,0.9669781931464174,1.0,1.0,0.9889927310488057
2020-01-08,0.9669781931464174,1.0096200096200096,1.0,0.9921994009221423
2020-01-09,0.9669781931464174,1.0096200096200096,1.0,0.9921994009221423
2020-01-10,0.9669781931464174,1.0096200096200096,1.0,0.9921994009221423
2020-01-11,0.9669781931464174,1.0096200096200096,1.0,0.9921994009221423
2020-01-12,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-01-13,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-01-14,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-01-15,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-01-16,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-01-17,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-01-18,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-01-19,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-01-20,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-01-21,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-01-22,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-01-23,0.9669781931464174,1.0096200096200096,1.1180257510729614,1.0315413179464628
2020-01-24,0.9669781931464174,1.0096200096200096,1.1072961373390557,1.027964780035161
2020-01-25,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-01-26,0.9669781931464174,1.0096200096200096,1.1430615164520743,1.0398865730728337
2020-01-27,0.9669781931464174,1.0096200096200096,1.1072961373390557,1.027964780035161
2020-01-28,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-01-29,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-01-30,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-01-31,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-02-01,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-02-02,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-02-03,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-02-04,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-02-05,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-02-06,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-02-07,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-02-08,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-02-09,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-02-10,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-02-11,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-02-12,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-02-13,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-02-14,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-02-15,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-02-16,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-02-17,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-02-18,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-02-19,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-02-20,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-02-21,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-02-22,0.9669781931464174,1.0096200096200096,1.0715307582260372,1.016042986997488
2020-02-23,2.7389408099688475,1.0096200096200096,1.0715307582260372,1.6066971926049647
2020-02-24,0.9757009345794391,1.0096200096200096,1.0715307582260372,1.018950567475162
2020-02-25,0.863239875389408,1.0096200096200096,1.0715307582260372,0.9814635477451517
2020-02-26,0.863239875389408,1.0096200096200096,1.0715307582260372,0.9814635477451517
2020-02-27,1.8364485981308412,1.0096200096200096,1.0715307582260372,1.3058664553256294
2020-02-28,1.8364485981308412,1.0096200096200096,1.0715307582260372,1.3058664553256294
2020-02-29,1.8364485981308412,1.0096200096200096,1.0715307582260372,1.3058664553256294
2020-03-01,1.8364485981308412,1.2041847041847042,1.0715307582260372,1.3707213535138607
2020-03-02,1.8364485981308412,1.2041847041847042,1.0715307582260372,1.3707213535138607
2020-03-03,1.8364485981308412,1.2041847041847042,1.0715307582260372,1.3707213535138607
2020-03-04,1.8364485981308412,1.2041847041847042,1.0715307582260372,1.3707213535138607
2020-03-05,1.8364485981308412,1.2041847041847042,1.0715307582260372,1.3707213535138607
2020-03-06,1.8364485981308412,1.2041847041847042,1.0715307582260372,1.3707213535138607
2020-03-07,1.8364485981308412,1.2041847041847042,1.0715307582260372,1.3707213535138607
