date,B0014C440U,B001CXWNGI,B001DEIG44,B002S0NP84,B0096Q8PF6,B00D3JA5V4,B00DNYXJP8,B00JJXMAI4,B00VPEMFC6,B01B5KAAAS,average
2020-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-02,1.0,1.0,1.0,1.0227781926811053,1.0,1.0,1.0,1.0,1.0,1.0,1.0022778192681105
2020-01-03,1.0,1.0,1.0,1.0227781926811053,1.0,1.0,1.0,1.0,1.0,1.0,1.0022778192681105
2020-01-04,1.0,1.0,1.0,1.0227781926811053,1.0,1.0,1.0,1.0,1.0,1.0,1.0022778192681105
2020-01-05,1.0,1.0,1.1121495327102802,1.0227781926811053,1.0,1.0,1.0,1.0063492063492063,1.0,1.0,1.0141276931740593
2020-01-06,1.0,1.0,1.1121495327102802,1.0227781926811053,1.0,0.8694706308919508,1.0,0.9936507936507937,1.0,1.0,0.999804914993413
2020-01-07,1.0,1.0,1.1121495327102802,1.0227781926811053,1.0,0.8694706308919508,1.0,0.9936507936507937,1.0,1.0,0.999804914993413
2020-01-08,1.0,1.0422838031533685,1.1121495327102802,1.0227781926811053,1.0,0.8694706308919508,1.0,1.0,1.0,1.0,1.0046682159436706
2020-01-09,1.0,1.04921165790731,1.1121495327102802,1.0227781926811053,1.0,0.8694706308919508,1.0,1.0,1.0,1.0,1.0053610014190646
2020-01-10,1.0,1.04921165790731,1.1121495327102802,1.0227781926811053,1.0,0.8694706308919508,1.0,1.0,1.0,1.0,1.0053610014190646
2020-01-11,1.0,1.04921165790731,1.1121495327102802,1.0227781926811053,1.0,0.8694706308919508,1.0,1.0,1.0,1.0,1.0053610014190646
2020-01-12,1.0,1.0422838031533685,1.1121495327102802,1.0227781926811053,1.0,0.8694706308919508,1.0,1.0,1.0,1.0,1.0046682159436706
2020-01-13,1.0,1.0422838031533685,1.1121495327102802,1.0227781926811053,1.0,0.8694706308919508,1.0,1.0,1.0,1.0,1.0046682159436706
2020-01-14,0.9971898835808912,1.0422838031533685,1.1121495327102802,1.0227781926811053,1.0,0.8694706308919508,1.0,1.0,1.0,1.0,1.0043872043017597
2020-01-15,0.9502207948615015,1.0422838031533685,1.1121495327102802,1.0227781926811053,1.0,0.8694706308919508,1.0,1.0,1.0,1.0,0.9996902954298207
2020-01-16,0.9502207948615015,1.042044911610129,1.1121495327102802,1.0227781926811053,1.0,0.8694706308919508,1.0,1.0,1.0,1.0,0.9996664062754966
2020-01-17,0.9502207948615015,1.0,1.1121495327102802,1.0227781926811053,1.0,0.8694706308919508,1.0,1.0,1.0,1.0,0.9954619151144838
2020-01-18,0.9502207948615015,1.0419254658385093,1.1121495327102802,1.0227781926811053,1.0,0.8694706308919508,1.0,1.0,1.0,1.0,0.9996544616983346
2020-01-19,0.9723002810116419,1.0422838031533685,1.1121495327102802,1.0227781926811053,1.0,0.8694706308919508,1.0,1.0,1.0,1.0,1.0018982440448347
2020-01-20,0.9700923323966278,1.0418856505813028,1.1121495327102802,1.0227781926811053,1.0,1.0,1.0,1.0,1.0,1.0,1.0146905708369318
2020-01-21,0.9700923323966278,1.0418856505813028,1.1121495327102802,1.0227781926811053,1.0,1.0,1.0,1.0,1.0,1.0,1.0146905708369318
2020-01-22,0.9700923323966278,1.0418856505813028,1.1121495327102802,1.0227781926811053,1.0,1.0,1.0,1.0,1.0,1.0,1.0146905708369318
2020-01-23,0.9700923323966278,1.0413282369804109,1.1121495327102802,1.0227781926811053,1.0,1.0,1.3103879849812266,1.0,1.0,1.0,1.0456736279749652
2020-01-24,0.9700923323966278,1.0410893454371715,1.1121495327102802,1.0227781926811053,1.0,1.0,1.3103879849812266,1.0,1.0,1.0,1.0456497388206412
2020-01-25,0.9908336678710024,1.0408504538939323,1.1121495327102802,1.0227781926811053,1.0,1.0,1.3122653316645807,1.0,1.0,1.0,1.04788771788209
2020-01-26,0.9620634283420313,1.0408504538939323,1.1121495327102802,1.0227781926811053,1.0,1.0,1.3097622027534417,1.0,1.0,1.0,1.044760381038079
2020-01-27,0.9620634283420313,1.0408504538939323,1.1121495327102802,1.0227781926811053,1.0,1.0,1.3103879849812266,1.0,1.0,1.0,1.0448229592608578
2020-01-28,0.9620634283420313,1.0408504538939323,1.1121495327102802,1.0227781926811053,1.0,1.0,1.3103879849812266,1.0,1.0,1.0,1.0448229592608578
2020-01-29,0.9620634283420313,1.0408504538939323,1.1121495327102802,1.0227781926811053,1.0,1.0,1.3103879849812266,1.0,1.0,1.0,1.0448229592608578
2020-01-30,0.9620634283420313,1.0408504538939323,1.1121495327102802,1.0227781926811053,1.0,1.0,1.3103879849812266,1.0,1.0,1.0,1.0448229592608578
2020-01-31,0.9620634283420313,1.0271540054148751,1.1121495327102802,1.0227781926811053,1.0,1.0,1.3103879849812266,1.0,1.0,1.0,1.0434533144129519
2020-02-01,0.9620634283420313,1.0271540054148751,1.1121495327102802,1.0227781926811053,1.0,1.0,1.3103879849812266,1.0063492063492063,1.0,1.0,1.0440882350478726
2020-02-02,0.9620634283420313,1.0403726708074534,1.1121495327102802,1.0227781926811053,1.0,1.0,1.3103879849812266,0.9936507936507937,1.0,1.0,1.044140260317289
2020-02-03,0.9620634283420313,1.0403726708074534,1.1121495327102802,1.0227781926811053,1.0,1.0,1.3103879849812266,0.9936507936507937,1.0,1.0,1.044140260317289
2020-02-04,0.9620634283420313,1.0,1.1121495327102802,1.0507841672890217,1.0,1.0,1.3103879849812266,0.9936507936507937,1.0,1.0,1.0429035906973354
