date,B07H9KV1GG,B07H9KV2YN,B07H9KZQ9G,B07H9PZ6MH,B07H9PZ81G,B07H9PZGSP,B07H9PZMVV,average
2020-02-23,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-24,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-25,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-26,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-27,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-28,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-02-29,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-01,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-02,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-03,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-04,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-05,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-06,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-07,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-08,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-09,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-10,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-11,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-12,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-13,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-14,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-15,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
2020-03-16,1.0,1.0,1.0,0.9994114184814598,1.0,0.9994114184814598,1.0,0.9998318338518456
