date,B00009RF1E,B000BBGS36,B000BCZ8JU,B001FDKGIW,B001GQ3GEY,B002FS4VJQ,B0084AWBRS,B079945DR1,average
2020-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-02,0.9917211328976033,1.0,1.0,1.0,1.1000857878181298,1.0,1.0,1.0006886261907495,1.0115619433633103
2020-01-03,0.9893246187363831,1.0,1.0,1.0,1.1000857878181298,1.0095238095238095,1.0,0.9952943876965454,1.0117785754718585
2020-01-04,0.9893246187363831,1.0,1.0,1.0,1.0,1.1902645502645504,1.0,1.0327097440605992,1.0265373641326916
2020-01-05,0.9893246187363831,1.0,1.0,1.0,1.06672385854542,1.3121693121693123,1.0,1.0,1.0460272236813895
2020-01-06,0.9886710239651414,1.0,1.0,1.0,1.050042893909065,1.3410934744268077,1.0,0.9686675083208999,1.0435593625777393
2020-01-07,0.9882352941176468,1.0,1.0,1.0,1.0333619292727096,0.9523809523809524,1.0,1.0327097440605992,1.0008359899789885
2020-01-08,0.9877995642701523,1.0,1.0,1.0,1.0993232294347537,1.151851851851852,1.0,1.0006886261907495,1.0299579089684385
2020-01-09,0.9873638344226577,1.0375,1.0,1.0,1.0,1.151851851851852,1.0,0.9903974903401049,1.0208891470768269
2020-01-10,0.9869281045751631,1.0375,1.0,1.0,1.0,1.151851851851852,1.0,0.9686675083208999,1.0181184330934894
2020-01-11,0.9869281045751631,1.0375,1.0,1.0,1.0,1.151851851851852,1.0,0.9903974903401049,1.02083468084589
2020-01-12,0.9869281045751631,1.0375,1.0,1.0,1.0,1.151851851851852,1.0,1.0327097440605992,1.0261237125609517
2020-01-13,0.9869281045751631,1.0375,1.0,1.0,1.0,1.151851851851852,1.0,0.9698152186388156,1.0182618968832289
2020-01-14,0.9803921568627448,1.0375,0.939246401354784,1.0,1.0,1.151851851851852,1.0,1.0327097440605992,1.0177125192662475
2020-01-15,0.9586056644880172,1.075,0.939246401354784,1.0,1.0,1.151851851851852,1.0,0.9686675083208999,1.0116714282519441
2020-01-16,0.9586056644880172,1.0,0.939246401354784,1.0,1.0,1.151851851851852,1.0,1.0,1.0062129897118317
2020-01-17,0.9586056644880172,1.0,0.939246401354784,1.0,1.0,1.151851851851852,1.0,1.0012624813497077,1.0063707998805451
2020-01-18,0.9586056644880172,1.0,0.939246401354784,1.0,1.0,1.151851851851852,1.0,0.9698152186388156,1.0024398920416837
2020-01-19,0.9586056644880172,1.0001250000000002,0.939246401354784,1.0,1.0,1.151851851851852,1.0,1.0327097440605992,1.0103173327194066
2020-01-20,0.9586056644880172,1.0001250000000002,0.939246401354784,1.0,1.0,1.151851851851852,1.0,1.0327097440605992,1.0103173327194066
