date,B005GSYXJ0,B00D5YS4HE,B01BZ0M3ZI,B01GK94OQK,B01HSSVDT8,B01HSSXYVI,B01HSSZN2Q,B01HTBHMRG,average
2020-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-02,1.0,1.0,1.1771159874608152,1.0,1.0,1.0,0.9578827546955035,1.0,1.0168748427695398
2020-01-03,1.0,1.0,1.1771159874608152,1.0,1.0,1.0,0.9533295389869095,1.0,1.0163056908059656
2020-01-04,1.0,1.0,1.1959247648902822,1.0,1.0,1.0,0.9391007398975526,1.0,1.0168781880984794
2020-01-05,1.0,1.0,1.1959247648902822,1.0,1.0,1.0,0.9464997154240181,1.0,1.0178030600392876
2020-01-06,1.0,1.0,1.2523510971786835,1.0,1.0,0.973973973973974,0.9299943084803642,1.0,1.0195399224541277
2020-01-07,1.0,0.9427312775330396,1.1248693834900734,1.0,1.0,1.0,0.935685828116107,1.0,1.0004108111424026
2020-01-08,1.0,0.9427312775330396,1.0105799373040751,1.0,1.0,1.0,0.935685828116107,1.0,0.9861246303691527
2020-01-09,1.0,0.9427312775330396,1.0105799373040751,1.0,1.0,0.9939939939939939,0.9231644849174729,1.0,0.9838087117185728
2020-01-10,1.0,0.9401615271659325,1.0105799373040751,1.0,1.0,0.9814814814814814,0.9311326124075128,1.0,0.9829194447948753
2020-01-11,1.0,0.9401615271659325,1.0105799373040751,1.0,1.0,0.9814814814814814,0.9237336368810473,1.0,0.981994572854067
2020-01-12,1.0,0.9401615271659325,1.0105799373040751,1.0,1.0,0.9854854854854855,0.9243027888446214,1.0,0.9825662173500144
2020-01-13,1.0656370656370655,0.9401615271659325,1.0105799373040751,1.0,1.0,1.0,0.9311326124075128,1.0,0.9934388928143233
2020-01-14,1.0656370656370655,0.9401615271659325,1.0105799373040751,1.0,1.0,1.0,0.9243027888446214,1.0,0.9925851648689619
2020-01-15,1.0656370656370655,0.9401615271659325,1.0105799373040751,1.0,1.0,1.0,0.9311326124075128,1.0,0.9934388928143233
2020-01-16,1.0656370656370655,0.9401615271659325,0.9913793103448274,1.0,1.0,1.0,0.9903244166192372,1.0,0.9984377899708828
2020-01-17,1.0656370656370655,0.9401615271659325,0.9913793103448274,1.0,1.0,1.0,0.9408081957882756,1.0,0.9922482623670127
2020-01-18,1.0656370656370655,0.9401615271659325,0.9835423197492164,1.0,1.0,1.0,0.9408081957882756,1.0,0.9912686385425613
2020-01-19,1.0656370656370655,0.9401615271659325,0.9835423197492164,1.0,1.0,0.9929929929929929,0.941946499715424,1.0,0.990535050657579
2020-01-20,1.0656370656370655,0.9401615271659325,0.9835423197492164,1.0,1.0,1.0,0.9817871371656232,1.0,0.9963910062147298
2020-01-21,1.0656370656370655,0.9401615271659325,0.9913793103448274,1.0,1.0,1.0,0.956744450768355,1.0,0.9942402942395225
2020-01-22,1.0656370656370655,0.9401615271659325,0.9913793103448274,1.0,1.0,1.0,0.9425156516789982,1.0,0.992461694353353
2020-01-23,1.0656370656370655,0.9401615271659325,0.9843260188087775,1.0,1.0,1.0,0.9436539556061467,1.0,0.9917223209022403
2020-01-24,1.0656370656370655,0.9401615271659325,0.9827586206896551,1.0,1.0,1.0,0.9436539556061467,1.0,0.9915263961373499
2020-01-25,1.0656370656370655,0.9401615271659325,0.9827586206896551,1.0,1.0,1.0,0.935685828116107,1.0,0.990530380201095
2020-01-26,1.0656370656370655,0.9401615271659325,0.9827586206896551,1.0,1.0,1.0,0.9587364826408651,1.0,0.9934117120166898
2020-01-27,1.0656370656370655,0.9401615271659325,0.9827586206896551,1.0,1.0,1.0,0.9587364826408651,1.0,0.9934117120166898
2020-01-28,1.0656370656370655,0.9401615271659325,0.9827586206896551,1.0,1.0,1.0,0.9055207740466704,1.0,0.9867597484424154
2020-01-29,1.0656370656370655,0.9401615271659325,0.9827586206896551,1.0,1.0,1.0,0.9055207740466704,1.0,0.9867597484424154
2020-01-30,1.0656370656370655,0.9401615271659325,0.9827586206896551,1.0,1.0,1.0,0.939669891861127,1.0,0.9910283881692226
2020-01-31,1.0656370656370655,0.9401615271659325,0.9835423197492164,1.0,0.8696343402225755,1.0,0.939669891861127,1.0,0.9748306430794897
2020-02-01,1.0656370656370655,0.9401615271659325,0.9835423197492164,1.0,0.8696343402225755,1.0,0.9556061468412065,1.0,0.9768226749519996
