date,B005IRYMCW,B00GMOSUX2,B00UM41HGK,B00WW8YO6E,B00WW8YZKO,B00WW8Z026,B01LOSGSUM,B01MYYVGU7,B01N9GPLFS,B074DYLY5V,average
2020-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-04,1.0,1.0,0.7775305895439377,1.0,1.316913946587537,1.0,1.0,1.0,1.0,1.0,1.0094444536131475
2020-01-05,1.0,1.0,0.7775305895439377,1.0,1.316913946587537,1.0,1.0,1.0,1.0,1.0,1.0094444536131475
2020-01-06,1.0,1.0,0.7775305895439377,1.0,1.316913946587537,1.0,1.0,1.0,1.0,1.0,1.0094444536131475
2020-01-07,1.0,1.0,0.7775305895439377,1.0,1.316913946587537,1.0,1.0,1.0,1.0,1.0,1.0094444536131475
2020-01-08,1.0,1.0,0.7775305895439377,1.0,1.316913946587537,1.0,1.0,1.0,1.0,1.0,1.0094444536131475
2020-01-09,1.0,1.0,0.7775305895439377,1.0,1.316913946587537,1.0,1.0,1.0,1.0,1.0,1.0094444536131475
2020-01-10,1.0,1.0,0.7775305895439377,1.0,1.316913946587537,1.0,1.0,1.0,1.0,1.0,1.0094444536131475
2020-01-11,1.0,1.0,0.7775305895439377,1.0,1.316913946587537,1.0,1.0,1.0,1.0,1.0,1.0094444536131475
2020-01-12,1.0,1.0,0.7775305895439377,1.0,1.316913946587537,1.0,1.0,1.0,1.0,1.0,1.0094444536131475
2020-01-13,1.0,1.0,0.7775305895439377,1.0,1.316913946587537,1.0,1.0,1.0,1.0,1.0,1.0094444536131475
2020-01-14,1.0,1.0,0.7775305895439377,1.0,1.316913946587537,1.0,1.0,1.0,1.0,1.0,1.0094444536131475
2020-01-15,1.0,1.0,0.7775305895439377,1.0,0.9614243323442135,1.0,1.0,1.0,1.0,1.0,0.9738954921888151
2020-01-16,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.0,1.0,1.0,1.0,1.0,0.9405621588554818
2020-01-17,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.0,1.0,1.0,1.0,1.0,0.9405621588554818
2020-01-18,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.0,1.0,1.0,1.0,1.0,0.9405621588554818
2020-01-19,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.0,1.0,1.0,1.0,1.0,0.9405621588554818
2020-01-20,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.0,1.0,1.0,1.0,1.0,0.9405621588554818
2020-01-21,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.0,1.0,1.0,1.0,1.0,0.9405621588554818
2020-01-22,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0,1.0,1.0,1.0,0.9516848199781428
2020-01-23,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0,1.0,1.0,1.0,0.9516848199781428
2020-01-24,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0,1.0,1.0,1.0,0.9516848199781428
2020-01-25,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0,1.0,1.0,1.0,0.9516848199781428
2020-01-26,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0,1.0,1.0,1.0,0.9516848199781428
2020-01-27,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0,1.0,1.0,1.0,0.9516848199781428
2020-01-28,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0,1.0,1.0,1.0,0.9516848199781428
2020-01-29,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9807121661721067,1.1112266112266111,1.0,1.0,1.0,1.0,0.953613603360932
2020-01-30,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9807121661721067,1.1112266112266111,1.0,1.0,1.0,1.0,0.953613603360932
2020-01-31,1.0,0.9974979149291077,0.7775305895439377,0.6666666666666666,0.9807121661721067,1.1112266112266111,1.0,1.0,1.0,1.0,0.953363394853843
2020-02-01,1.0,0.9599666388657214,0.7775305895439377,0.6666666666666666,0.9807121661721067,1.1112266112266111,1.0326309628328942,1.0,1.2726239199636198,1.0,0.9801357555271558
2020-02-02,1.0,0.9599666388657214,0.7775305895439377,0.6666666666666666,0.9807121661721067,1.1112266112266111,1.0326309628328942,1.0,1.2726239199636198,1.0,0.9801357555271558
2020-02-03,1.0,0.9599666388657214,0.7775305895439377,0.6666666666666666,0.9807121661721067,1.1112266112266111,1.0326309628328942,1.0,1.2726239199636198,1.0,0.9801357555271558
2020-02-04,1.0,1.0,0.7775305895439377,0.6666666666666666,1.0931750741839763,1.1112266112266111,1.0326309628328942,1.0,1.2726239199636198,1.0,0.9953853824417707
2020-02-05,1.0,1.0,0.7775305895439377,0.6666666666666666,0.9614243323442135,1.1112266112266111,1.0326309628328942,1.0,1.2726239199636198,1.0,0.9822103082577943
2020-02-06,1.0,1.0,0.7775305895439377,0.6666666666666666,1.1863501483679524,1.1112266112266111,1.0326309628328942,1.0,1.2726239199636198,1.0,1.0047028898601682
