date,N95 Mask,hand sanitizer,disinfectant spray,disinfectant wipes,olive oil,canned soup,rice,instant noodles,bottled water,hair color,hair clipper,shampoo,trash bag,toilet paper,dumbbell,yoga mat,nintendo switch,pet supply,printer ink
2020-02-01,0.8,0.5,0.4,0.0,0.1,,0.0,0.4444444444444444,0.6,0.2,0.2,0.0,0.7,0.0,0.2,0.3,0.1,0.7,0.4
2020-02-02,0.8,0.75,0.4,0.0,0.1,,0.0,0.4444444444444444,0.6,0.2,0.2,0.0,0.7,0.0,0.2,0.3,0.1,0.6,0.4
2020-02-03,0.8,0.625,0.4,0.0,0.0,,0.0,0.4444444444444444,0.6,0.2,0.2,0.0,0.7,0.0,0.3,0.3,0.1,0.6,0.4
2020-02-04,0.8,0.5,0.4,0.0,0.0,,0.0,0.5555555555555556,0.6,0.1,0.2,0.0,0.7,0.0,0.3,0.3,0.1,0.6,0.4
2020-02-05,0.8,0.5,0.5,0.0,0.0,,0.0,0.5555555555555556,0.6,0.2,0.2,0.0,0.7,0.0,0.2,0.3,0.1,0.6,0.4
2020-02-06,0.8,0.5,0.5,0.0,0.0,,0.0,0.5555555555555556,0.6,0.2,0.2,0.0,0.7,0.0,0.2,0.3,0.1,0.6,0.4
2020-02-07,0.8,0.5,0.5,0.0,0.0,,0.2,0.5555555555555556,0.6,0.2,0.2,0.0,0.7,0.0,0.2,0.3,0.1,0.7,0.4
2020-02-08,0.8,0.5,0.5,0.0,0.0,,0.2,0.5555555555555556,0.6,0.2,0.2,0.0,0.7,0.0,0.2,0.3,0.1,0.7,0.4
2020-02-09,0.8,0.5,0.5,0.0,0.0,,0.2,0.5555555555555556,0.6,0.1,0.2,0.0,0.7,0.0,0.2,0.3,0.1,0.7,0.4
2020-02-10,0.8,0.5,0.5,0.0,0.0,,0.2,0.5555555555555556,0.6,0.2,0.2,0.0,0.7,0.0,0.2,0.3,0.1,0.7,0.4
2020-02-11,0.8,0.5,0.5,0.0,0.0,,0.2,0.4444444444444444,0.6,0.2,0.2,0.0,0.7,0.0,0.2,0.3,0.1,0.7,0.4
