date,B00PDNY8Q6,B01FS2W6I8,B01GAIU7HG,B07CZK4RY1,B07D93TR7Z,B07QNSDX64,B07QPWKYG9,B07QR1HGV5,average
2020-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-02,1.0527983104540655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0065997888067582
2020-01-03,1.0527983104540655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0065997888067582
2020-01-04,1.0527983104540655,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0065997888067582
2020-01-05,1.0527983104540655,1.0,0.5550116809433753,1.0,1.0,0.8665688171325638,0.8271698633917484,0.8665688171325638,0.8960146861317895
2020-01-06,1.0,1.0,0.5550116809433753,1.0,1.0,0.8665688171325638,0.8271698633917484,0.8665688171325638,0.8894148973250313
2020-01-07,0.983104540654699,1.0,0.5550116809433753,0.9442518004801279,1.0,0.8665688171325638,0.8271698633917484,0.8665688171325638,0.8803344399668847
2020-01-08,0.983104540654699,1.0,0.5550116809433753,1.0,1.0,0.8665688171325638,0.8271698633917484,0.8665688171325638,0.8873029649068687
2020-01-09,0.983104540654699,1.0,0.5550116809433753,1.0,1.0,0.8665688171325638,0.8271698633917484,0.8665688171325638,0.8873029649068687
2020-01-10,0.983104540654699,1.0,0.5550116809433753,1.0,1.0,0.8665688171325638,0.8271698633917484,0.8665688171325638,0.8873029649068687
2020-01-11,0.983104540654699,1.0,0.5550116809433753,1.0,1.0,0.8665688171325638,0.8271698633917484,0.8665688171325638,0.8873029649068687
2020-01-12,0.983104540654699,1.0,0.5550116809433753,1.0,1.0,0.8665688171325638,0.8271698633917484,0.8665688171325638,0.8873029649068687
2020-01-13,0.983104540654699,1.0,0.5550116809433753,1.0,1.0,0.8665688171325638,0.8271698633917484,0.8665688171325638,0.8873029649068687
2020-01-14,0.983104540654699,1.0,0.5550116809433753,1.0,1.0,0.8665688171325638,0.8271698633917484,0.8665688171325638,0.8873029649068687
2020-01-15,0.983104540654699,1.0,0.5550116809433753,1.0,1.0,0.8665688171325638,0.8271698633917484,0.8665688171325638,0.8873029649068687
2020-01-16,0.983104540654699,1.0,0.5550116809433753,1.0,1.0,0.8665688171325638,0.8271698633917484,0.8665688171325638,0.8873029649068687
2020-01-17,0.983104540654699,1.0,0.5550116809433753,1.0,1.0,0.8665688171325638,0.8271698633917484,0.8665688171325638,0.8873029649068687
2020-01-18,0.983104540654699,1.0,0.5550116809433753,1.0,1.0,0.8665688171325638,0.8271698633917484,0.8665688171325638,0.8873029649068687
2020-01-19,0.983104540654699,1.0,0.5561241517410168,1.0,1.0,1.1004069651077457,0.6895267007037394,1.1004069651077457,0.9286961654143684
2020-01-20,0.983104540654699,1.0,1.0,1.0,1.0,1.1004069651077457,0.6895267007037394,1.1004069651077457,0.9841806464467413
2020-01-21,0.983104540654699,1.0,1.0,1.0,1.0,1.1004069651077457,0.6895267007037394,1.1004069651077457,0.9841806464467413
2020-01-22,0.983104540654699,1.0,1.0,1.0,1.0,1.1004069651077457,0.6895267007037394,1.1004069651077457,0.9841806464467413
2020-01-23,0.983104540654699,1.0,1.0,1.0,1.0,1.1004069651077457,0.6895267007037394,1.1004069651077457,0.9841806464467413
2020-01-24,0.983104540654699,1.0,1.0,1.0,1.0,1.1004069651077457,0.6895267007037394,1.1004069651077457,0.9841806464467413
2020-01-25,0.983104540654699,1.0,1.0,1.0,1.0,1.1004069651077457,0.6895267007037394,1.1004069651077457,0.9841806464467413
2020-01-26,0.983104540654699,1.0,0.5550116809433753,1.0,1.0,0.8665688171325638,0.9310059334897198,0.8665688171325638,0.9002824736691151
2020-01-27,0.9340021119324182,1.0,0.5550116809433753,1.0,1.0,0.8665688171325638,0.9310059334897198,0.8665688171325638,0.89414467007883
2020-01-28,0.983104540654699,1.0,0.5550116809433753,1.0,1.0,0.8665688171325638,0.9310059334897198,0.8665688171325638,0.9002824736691151
2020-01-29,0.983104540654699,1.0,0.5550116809433753,1.0,1.0,0.8665688171325638,0.9310059334897198,0.8665688171325638,0.9002824736691151
2020-01-30,0.9340021119324182,1.0,0.5550116809433753,1.0,1.0,0.8665688171325638,0.9310059334897198,0.8665688171325638,0.89414467007883
2020-01-31,0.9334741288278774,1.0,0.5550116809433753,1.0,1.0,0.8665688171325638,0.9310059334897198,0.8665688171325638,0.8940786721907625
2020-02-01,0.983104540654699,1.0,0.5550116809433753,1.0,1.0,0.8665688171325638,0.9310059334897198,0.8665688171325638,0.9002824736691151
2020-02-02,0.983104540654699,1.0,0.5550116809433753,1.0,1.0,0.8665688171325638,0.6891817303711881,0.8665688171325638,0.8700544482792987
2020-02-03,0.983104540654699,1.0,0.6291764007861461,1.0,1.0,0.8665688171325638,0.6891817303711881,0.8665688171325638,0.8793250382596451
2020-02-04,0.983104540654699,1.0,0.5550116809433753,1.0,1.0,0.8665688171325638,0.6891817303711881,0.8665688171325638,0.8700544482792987
2020-02-05,0.983104540654699,1.0,0.5550116809433753,1.0,1.0,0.8665688171325638,0.6891817303711881,0.8665688171325638,0.8700544482792987
2020-02-06,1.108236536430834,1.0,0.6662587607075314,1.0,1.0,0.8665688171325638,0.6891817303711881,0.8665688171325638,0.8996018327218351
2020-02-07,1.108236536430834,1.0,0.6662587607075314,1.0,1.0,0.8665688171325638,0.6891817303711881,0.8665688171325638,0.8996018327218351
2020-02-08,1.213833157338965,1.0,0.6662587607075314,1.0,1.0,0.8665688171325638,0.6891817303711881,0.8665688171325638,0.9128014103353517
