date,B0014COKYU,B00BAKMTG2,B00GYRBXCM,B00GYRBY1M,B00WG9SJUG,B01K1P98JC,B06XD7BRJG,B078B71157,B079Z1M3T6,B079Z6XH36,average
2020-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-02,1.0,1.0,1.000384467512495,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0000384467512495
2020-01-03,1.0,1.0,0.9996155324875048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999615532487505
2020-01-04,1.0,1.0,0.9996155324875048,1.0,1.0,1.0,0.9932584269662922,1.0,1.0,1.0,0.9992873959453797
2020-01-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-06,0.5602540834845734,1.0,1.0,1.0,1.0,1.0,1.006741573033708,1.0,1.0,1.0,0.9566995656518282
2020-01-07,1.276225045372051,1.0,1.000384467512495,1.0,1.0,1.0,1.006741573033708,1.0,1.0,1.0,1.0283351085918253
2020-01-08,0.9096914700544465,1.0,1.0,1.0,1.0,1.0,0.9932584269662922,1.0,1.0,1.0,0.990294989702074
2020-01-09,0.3909255898366606,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9390925589836661
2020-01-10,0.5520871143375681,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9552087114337567
2020-01-11,0.5520871143375681,1.0,1.0,1.0,1.0,1.0,0.8898876404494382,1.0,1.0,1.0,0.9441974754787006
2020-01-12,0.5520871143375681,1.0,1.0,1.0,1.0,1.0,1.006741573033708,1.0,1.0,1.0,0.9558828687371277
2020-01-13,0.5602540834845734,1.0,0.998077662437524,1.1037527593818983,1.0,1.0126682501979414,1.006741573033708,1.0,1.0,1.0,0.9681494328535646
2020-01-14,0.5602540834845734,1.0,0.9985902857875174,1.1037527593818983,1.0,1.0126682501979414,1.006741573033708,1.0,1.0,1.0,0.9682006951885638
2020-01-15,0.5602540834845734,1.0,0.998077662437524,1.1037527593818983,1.0,1.0126682501979414,1.006741573033708,1.0,1.0,1.0,0.9681494328535646
2020-01-16,0.5602540834845734,1.0,0.9975650390875305,1.1037527593818983,1.0,1.0042227500659806,0.9932584269662922,1.0,1.0,1.0,0.9659053058986273
2020-01-17,0.5602540834845734,1.0,0.9976931949250287,1.1037527593818983,1.0,1.0042227500659806,1.006741573033708,1.0,1.0,1.0,0.967266436089119
2020-01-18,0.5602540834845734,1.0,0.9969242599000384,1.1037527593818983,1.0,1.0042227500659806,1.006741573033708,1.0,1.0,1.0,0.9671895425866198
2020-01-19,0.5602540834845734,1.0,0.9969242599000384,1.1037527593818983,1.0,1.0,1.006741573033708,1.0,1.0,1.0,0.9667672675800217
2020-01-20,1.159709618874773,1.0,0.9969242599000384,1.1037527593818983,1.0,1.0,1.006741573033708,1.0,1.0,1.0,1.0267128211190417
2020-01-21,0.9108892921960072,1.0,0.9967961040625399,1.1037527593818983,1.0,1.0,0.9932584269662922,1.0,1.0,1.0,1.0004696582606738
2020-01-22,0.9370235934664247,1.0,0.9969242599000384,1.1037527593818983,1.0,1.0,1.006741573033708,1.0,1.0,1.0,1.004444218578207
2020-01-23,0.9370235934664247,1.0,0.9957708573625528,1.1037527593818983,1.0,1.0,0.9932584269662922,1.0,1.0,1.0,1.002980563717717
2020-01-24,0.9370235934664247,1.0,0.9957708573625528,1.1037527593818983,1.0,1.0,1.006741573033708,1.0,1.0,1.0,1.0043288783244584
2020-01-25,1.0181488203266786,1.0,0.9957708573625528,1.1037527593818983,1.0,1.0,0.9932584269662922,1.0,1.0,1.0,1.0110930864037422
2020-01-26,1.0181488203266786,1.0,0.9957708573625528,1.1037527593818983,1.0,1.0,1.006741573033708,1.0,1.0,1.0,1.0124414010104839
2020-01-27,1.0181488203266786,1.0,0.9957708573625528,1.1037527593818983,1.0,1.0,1.006741573033708,1.0,1.0,1.0,1.0124414010104839
2020-01-28,1.0181488203266786,0.8687299893276416,0.9957708573625528,1.1037527593818983,1.0,1.0,1.006741573033708,1.0,1.0,1.0,0.999314399943248
2020-01-29,1.0181488203266786,0.8687299893276416,0.9957708573625528,1.1037527593818983,1.0,1.0,1.006741573033708,1.0,1.0,1.0,0.999314399943248
