date,B01MS6MO77,B01N1037CV,B07F3RFPXG,B07FV64QLX,B07KXQX3S3,B07NQX1J99,B07PC7X38X,B07RMC5BRL,B07S9886QV,B07SK4W1VJ,average
2020-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2020-01-06,1.0,1.0,1.1726484322881918,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0172648432288192
2020-01-07,1.0,1.0,1.3295530353569045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0329553035356906
2020-01-08,0.999799759711654,1.0652650648360031,1.3295530353569045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0394617859904562
2020-01-09,0.999799759711654,1.0347063310450038,1.3295530353569045,1.0,1.0093492894540015,1.0,1.0,1.0,1.0,1.0,1.0373408415567564
2020-01-10,0.999799759711654,1.0347063310450038,1.3295530353569045,1.0,1.0093492894540015,1.0,0.9871794871794872,1.0,1.0,1.0,1.0360587902747052
2020-01-11,0.9911894273127754,1.0347063310450038,1.3295530353569045,1.0,1.0093492894540015,1.0,0.9871794871794872,1.0,1.0,1.0,1.0351977570348172
2020-01-12,0.9911894273127754,1.0347063310450038,1.3295530353569045,1.0,1.0093492894540015,1.0,0.9871794871794872,1.0,1.0,1.0,1.0351977570348172
2020-01-13,0.9911894273127754,1.0347063310450038,1.3295530353569045,1.0,1.0093492894540015,1.0,0.9871794871794872,1.0,1.0,1.0,1.0351977570348172
2020-01-14,0.9911894273127754,1.028794813119756,1.3295530353569045,1.0,1.0093492894540015,1.0,0.9871794871794872,1.0,1.0,0.981646273637375,1.0327712326060299
2020-01-15,0.9911894273127754,1.044050343249428,1.3295530353569045,1.0,1.0093492894540015,1.0,0.9871794871794872,1.0,1.0,0.981646273637375,1.0342967856189973
2020-01-16,0.9911894273127754,1.028794813119756,1.3295530353569045,1.0,1.0093492894540015,1.0,0.9871794871794872,1.0,1.0,0.981646273637375,1.0327712326060299
2020-01-17,0.9911894273127754,1.0252669717772693,1.3295530353569045,1.0,1.0093492894540015,1.0,0.9871794871794872,1.0,1.0,0.981646273637375,1.0324184484717813
2020-01-18,0.9911894273127754,1.0252669717772693,1.3295530353569045,1.0,0.9510097232610322,1.0,0.9716239316239317,1.0,1.0,0.981646273637375,1.025028936296929
2020-01-19,0.9911894273127754,1.0252669717772693,1.3295530353569045,1.0,0.9408189977561705,1.0,0.9716239316239317,1.0,1.0,0.981646273637375,1.0240098637464425
2020-01-20,0.9911894273127754,1.0252669717772693,1.0,1.0,1.0198204936424833,1.0,0.9716239316239317,1.0,1.0,0.981646273637375,0.9989547097993835
2020-01-21,0.9911894273127754,1.0252669717772693,1.0,1.0,0.9532535527299926,1.0,0.9716239316239317,1.0,1.0,0.981646273637375,0.9922980157081345
2020-01-22,0.9911894273127754,1.0011441647597255,1.0,1.0,0.949887808526552,1.0,0.9562393162393162,1.0,1.0,0.981646273637375,0.9880106990475743
2020-01-23,0.9911894273127754,1.0011441647597255,1.0,1.0,0.9404522179391288,1.0,0.9562393162393162,1.0,1.0,0.981646273637375,0.9870671399888321
2020-01-24,0.9911894273127754,1.0671243325705568,1.0,1.0,0.931064572425829,1.0,0.9562393162393162,1.0,1.0,0.981646273637375,0.9927263922185853
2020-01-25,0.9911894273127754,1.0218344774980932,1.0,1.0,0.931064572425829,1.0,0.9391452991452991,1.0,1.0,0.9631071560993698,0.9846340932481364
2020-01-26,0.9911894273127754,1.0218344774980932,1.0,1.0,0.9286337571677887,1.0,0.9391452991452991,1.0,1.0,0.9631071560993698,0.9843910117223327
2020-01-27,1.0010012014417302,1.0863844393592677,1.0,1.0,0.9719521316379955,1.0,0.9391452991452991,1.0,1.0,0.9631071560993698,0.9961590227683661
2020-01-28,1.0010012014417302,1.0278413424866515,1.0,1.0,0.9719521316379955,1.0,0.9391452991452991,1.0,1.0,0.9631071560993698,0.9903047130811047
2020-01-29,1.0010012014417302,1.024790236460717,1.0,1.0,0.9491814177678052,1.0,0.9391452991452991,1.0,1.0,0.9631071560993698,0.9877225310914923
2020-01-30,1.0010012014417302,1.024790236460717,1.0,1.0,0.9189650336574421,1.0,0.9391452991452991,1.0,1.0,0.9631071560993698,0.9847008926804559
2020-01-31,1.0010012014417302,1.024790236460717,1.0,1.0,0.9047120418848167,1.0,0.9220512820512821,1.0,1.0,0.9631071560993698,0.9815661917937917
2020-02-01,1.0010012014417302,1.024790236460717,1.0,1.0,0.9549987534280728,1.0,0.8376068376068376,1.0,1.0,0.9631071560993698,0.9781504185036727
2020-02-02,0.9857829395274329,1.024790236460717,1.3295530353569045,1.0,0.9238843181251558,1.0,0.8376068376068376,1.0,1.0,0.9631071560993698,1.0064724523176416
2020-02-03,0.9857829395274329,1.024790236460717,1.3295530353569045,1.0,0.9238843181251558,1.0,0.8376068376068376,1.0,1.0,0.9631071560993698,1.0064724523176416
2020-02-04,0.9857829395274329,1.024790236460717,1.3295530353569045,1.0,1.018698578908003,1.0,0.8376068376068376,1.0,1.0,0.9631071560993698,1.0159538783959263
