date,bottledwater,cannedsoup,disinfectantspray,disinfectantwipes,dumbell,hairclipper,haircolor,handsanitizer,instantnoodles,N95mask,nintendoswitch,oliveoil,petsupply,printerink,rice,shampoo,toiletpaper,trashbag,yogamat
1/1/2020,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1/2/2020,1,1.001390108,1.000038447,1,1,1.011561943,1.022495826,1,1.006721967,1,1,0.988992731,0.999141631,1.006599789,1,0.997431602,1.002277819,1.016874843,1
1/3/2020,1,1.001390108,0.999961553,0.985055467,1,1.011778575,1.040021663,1,1.006721967,1,1,0.988992731,0.992010388,1.006599789,1,0.997431602,1.002277819,1.016305691,0.999915917
1/4/2020,1,1.001390108,0.999287396,0.9815149,1.009444454,1.026537364,1.048442796,1,1.006721967,1,1,0.988992731,1.006315959,1.006599789,1,0.997769669,1.002277819,1.016878188,0.999915917
1/5/2020,1,0.998962924,1,0.976408083,1.009444454,1.046027224,1.07849288,1,1.026143194,1,1,0.988992731,1.006315959,0.896014686,1,0.957719606,1.014127693,1.01780306,0.999915917
1/6/2020,1,0.998962924,0.956699566,0.961263911,1.009444454,1.043559363,1.10349288,1,1.023660972,1,1.017264843,0.988992731,1.006276942,0.889414897,1,0.949232727,0.999804915,1.019539922,0.999915917
1/7/2020,1,0.999502298,1.028335109,0.957099245,1.009444454,1.00083599,1.10349288,1,1.03140397,1.0821513,1.032955304,0.988992731,1.006212314,0.88033444,1,0.949232727,0.999804915,1.000410811,0.999915917
1/8/2020,1,0.999502298,0.99029499,0.987428097,1.009444454,1.029957909,1.090605776,1,1.031906684,1.0821513,1.039461786,0.992199401,1.006276942,0.887302965,1,0.942030047,1.004668216,0.98612463,0.999915917
1/9/2020,1,0.999502298,0.939092559,0.987428097,1.009444454,1.020889147,1.090522303,1,1.025774461,1.0821513,1.037340842,0.992199401,1.006341569,0.887302965,1,0.942030047,1.005361001,0.983808712,0.999915917
1/10/2020,1,0.999502298,0.955208711,0.987416095,1.009444454,1.018118433,1.090522303,0.973426729,1.027197279,1.0821513,1.03605879,0.992199401,1.006341569,0.887302965,1,0.942030047,1.005361001,0.982919445,0.999915917
1/11/2020,1,0.999502298,0.944197475,0.987404093,1.009444454,1.020834681,1.065337919,0.973426729,1.032295409,1.0821513,1.035197757,0.992199401,1.003706291,0.887302965,1,0.912008753,1.005361001,0.981994573,0.999915917
1/12/2020,1,1.00198986,0.955882869,0.982231266,1.009444454,1.026123713,1.065337919,0.973426729,1.041670107,1.0821513,1.035197757,1.016042987,0.989608198,0.887302965,1,0.912008753,1.004668216,0.982566217,0.999915917
1/13/2020,1,1.00198986,0.968149433,0.982231266,1.009444454,1.018261897,1.090471847,0.973426729,1.042353969,1.0821513,1.035197757,1.016042987,0.98939074,0.887302965,1,1.036614431,1.004668216,0.993438893,0.999915917
1/14/2020,1,1.00198986,0.968200695,0.981907214,1.009444454,1.017712519,1.090430111,1.031853695,1.029310626,1.0821513,1.032771233,1.016042987,0.975089238,0.887302965,1.000020013,0.989108235,1.004387204,0.992585165,0.999915917
1/15/2020,1,1.00198986,0.968149433,0.988922336,0.973895492,1.011671428,1.072441797,1.031853695,1.035664308,1.0821513,1.034296786,1.016042987,0.975089238,0.887302965,0.999764567,1.007720223,0.999690295,0.993438893,0.999915917
1/16/2020,1,1.00198986,0.965905306,0.988460262,0.940562159,1.00621299,1.090471847,1.025071396,1.048056362,0.996776109,1.032771233,1.016042987,0.975089238,0.887302965,0.999764567,0.992896102,0.999666406,0.99843779,0.999915917
1/17/2020,1,1.00198986,0.967266436,0.994276094,0.940562159,1.0063708,1.090471847,1.025071396,1.031030139,1.008712234,1.032418448,1.016042987,0.974766101,0.887302965,0.999764567,1.013331613,0.995461915,0.992248262,0.999915917
1/18/2020,1,1.00198986,0.967189543,0.99412007,0.940562159,1.002439892,1.140849206,1.025071396,1.030475717,1.005998383,1.025028936,1.016042987,0.974379594,0.887302965,0.999764567,1.036061931,0.999654462,0.991268639,0.999915917
