date,B00074VZ9O,B00074VZAS,B0009YUFMK,B002DGE8Q6,B002VXF3WE,B003MR52LU,B003MROHZW,B004B3W4N8,B005W0O5JK,B00987HPFO
2011-07-06,21.99,19.625,18.99,,,,,,,
2011-07-07,21.99,19.625,18.99,,,,,,,
2011-07-08,21.99,19.625,18.99,,,,,,,
2011-07-09,21.99,19.625,18.99,,,,,,,
2011-07-10,21.99,19.625,18.99,,,,,,,
2011-07-11,21.99,19.625,18.99,,,,,,,
2011-07-12,21.99,19.625,18.99,,,,,,,
2011-07-13,21.99,19.625,18.99,,,,,,,
2011-07-14,21.99,19.625,18.99,,,,,,,
2011-07-15,21.99,19.625,18.99,,,,,,,
2011-07-16,21.99,19.625,18.99,,,,,,,
2011-07-17,21.99,19.625,18.99,,,,,,,
2011-07-18,21.99,19.625,18.99,,,,,,,
2011-07-19,21.99,19.625,18.99,,,,,,,
2011-07-20,21.99,19.625,18.99,,,,,,,
2011-07-21,21.99,19.625,18.99,,,,,,,
2011-07-22,21.99,19.625,18.99,,,,,,,
2011-07-23,21.99,19.625,18.99,,,,,,,
2011-07-24,21.99,19.625,18.99,,,,,,,
2011-07-25,21.99,19.625,18.99,,,,,,,
2011-07-26,21.99,19.625,18.99,,,,,,,
2011-07-27,21.99,19.625,18.99,,,,,,,
2011-07-28,21.99,19.625,18.99,,,,,,,
2011-07-29,21.99,19.625,18.99,,,,,,,
2011-07-30,21.99,19.625,18.99,,,,,,,
2011-07-31,21.99,19.625,18.99,,,,,,,
2011-08-01,21.99,19.625,18.99,,,,,,,
2011-08-02,21.99,19.625,18.99,,,,,,,
2011-08-03,21.99,19.625,18.99,,,,,,,
2011-08-04,21.99,19.625,18.99,,,,,,,
2011-08-05,21.99,19.625,18.99,,,,,,,
2011-08-06,21.99,19.625,18.99,,,,,,,
2011-08-07,21.99,19.625,18.99,,,,,,,
2011-08-08,21.99,19.625,18.99,,,,,,,
2011-08-09,21.99,19.625,18.99,,,,,,,
2011-08-10,21.99,19.625,18.99,,,,,,,
2011-08-11,21.99,19.625,18.99,,,,,,,
2011-08-12,21.99,19.625,18.99,,,,,,,
2011-08-13,21.99,19.625,18.99,,,,,,,
2011-08-14,21.99,19.625,18.99,,,,,,,
2011-08-15,21.99,19.625,18.99,,,,,,,
2011-08-16,21.99,19.625,18.99,,,,,,,
2011-08-17,21.99,19.625,18.99,,,,,,,
2011-08-18,21.99,19.625,18.99,,,,,,,
2011-08-19,21.99,19.625,18.99,,,,,,,
2011-08-20,21.99,19.625,18.99,,,,,,,
2011-08-21,21.99,19.625,18.99,,,,,,,
2011-08-22,21.99,19.625,18.99,,,,,,,
2011-08-23,21.99,19.625,18.99,,,,,,,
2011-08-24,21.99,19.625,18.99,,,,,,,
2011-08-25,21.99,19.625,18.99,,,,,,,
2011-08-26,21.99,19.625,18.99,,,,,,,
2011-08-27,21.99,19.625,18.99,,,,,,,
2011-08-28,21.99,19.625,18.99,,,,,,,
2011-08-29,21.99,19.625,18.99,,,,,,,
2011-08-30,21.99,19.625,18.99,,,,,,,
2011-08-31,21.99,19.625,18.99,,,,,,,
2011-09-01,21.99,19.625,18.99,,,,,,,
2011-09-02,21.99,19.625,18.99,,,,,,,
2011-09-03,21.99,19.625,18.99,,,,,,,
2011-09-04,21.99,19.625,18.99,,,,,,,
2011-09-05,21.99,19.625,18.99,,,,,,,
2011-09-06,21.99,19.625,18.99,,,,,,,
2011-09-07,21.99,19.625,18.99,,,,,,,
2011-09-08,21.99,19.625,18.99,,,,,,,
2011-09-09,21.99,19.625,18.99,,,,,,,
2011-09-10,21.99,19.625,18.99,,,,,,,
2011-09-11,21.99,19.625,18.99,,,,,,,
2011-09-12,21.99,19.625,18.99,,,,,,,
2011-09-13,21.99,19.625,18.99,,,,,,,
2011-09-14,21.99,19.625,18.99,,,,,,,
2011-09-15,21.99,19.625,18.99,,,,,,,
2011-09-16,21.99,19.625,18.99,,,,,,,
