date,B000VQDABY,B000VSDA3A,B000VSDCH4,B000VSFMCW,B0028PDFQG,B002F0RY20,B00886SCJE,B009Q2YM7A,B00A28QQ44,B00C8XYYNG
2011-03-24,,,,,18.11,,,,,
2011-03-25,,,,,18.11,,,,,
2011-03-26,,,,,18.46,,,,,
2011-03-27,,,,,18.46,,,,,
2011-03-28,,,,,18.46,,,,,
2011-03-29,,,,,18.46,,,,,
2011-03-30,,,,,18.46,,,,,
2011-03-31,,,,,18.46,,,,,
2011-04-01,,,,,18.46,,,,,
2011-04-02,,,,,18.46,,,,,
2011-04-03,,,,,18.46,,,,,
2011-04-04,,,,,18.46,,,,,
2011-04-05,,,,,18.46,,,,,
2011-04-06,,,,,18.46,,,,,
2011-04-07,,,,,18.46,,,,,
2011-04-08,,,,,18.46,,,,,
2011-04-09,,,-0.01,-0.01,18.46,-0.01,,,,
2011-04-10,,,-0.01,-0.01,18.46,-0.01,,,,
2011-04-11,,,-0.01,-0.01,18.46,-0.01,,,,
2011-04-12,,,-0.01,-0.01,18.46,-0.01,,,,
2011-04-13,,,-0.01,-0.01,18.46,-0.01,,,,
2011-04-14,,,-0.01,-0.01,18.46,-0.01,,,,
2011-04-15,,,-0.01,-0.01,18.46,-0.01,,,,
2011-04-16,,,-0.01,-0.01,18.46,-0.01,,,,
2011-04-17,,,-0.01,-0.01,18.46,-0.01,,,,
2011-04-18,,,-0.01,-0.01,18.46,-0.01,,,,
2011-04-19,,,-0.01,-0.01,18.46,-0.01,,,,
2011-04-20,,,-0.01,-0.01,18.46,-0.01,,,,
2011-04-21,,,-0.01,-0.01,18.46,-0.01,,,,
2011-04-22,,,-0.01,-0.01,18.46,-0.01,,,,
2011-04-23,,,-0.01,-0.01,18.46,-0.01,,,,
2011-04-24,,,-0.01,-0.01,18.46,-0.01,,,,
2011-04-25,,,-0.01,-0.01,18.46,-0.01,,,,
2011-04-26,,,-0.01,-0.01,18.46,-0.01,,,,
2011-04-27,,,-0.01,-0.01,18.46,-0.01,,,,
2011-04-28,,,-0.01,-0.01,18.46,-0.01,,,,
2011-04-29,,,-0.01,-0.01,18.46,-0.01,,,,
2011-04-30,,,-0.01,-0.01,18.46,-0.01,,,,
2011-05-01,,,-0.01,-0.01,18.46,-0.01,,,,
2011-05-02,,,-0.01,-0.01,18.46,-0.01,,,,
2011-05-03,,,-0.01,-0.01,18.46,-0.01,,,,
2011-05-04,,,-0.01,-0.01,18.46,-0.01,,,,
2011-05-05,,,-0.01,-0.01,18.46,-0.01,,,,
2011-05-06,,,-0.01,-0.01,18.46,-0.01,,,,
2011-05-07,,,-0.01,-0.01,18.46,-0.01,,,,
2011-05-08,,,-0.01,-0.01,18.46,-0.01,,,,
2011-05-09,,,-0.01,-0.01,18.46,-0.01,,,,
2011-05-10,,,-0.01,-0.01,18.46,-0.01,,,,
2011-05-11,,,-0.01,-0.01,18.46,-0.01,,,,
2011-05-12,,,-0.01,-0.01,18.46,-0.01,,,,
2011-05-13,,,-0.01,-0.01,17.6,-0.01,,,,
2011-05-14,,,-0.01,-0.01,17.6,-0.01,,,,
2011-05-15,,,-0.01,-0.01,17.6,-0.01,,,,
2011-05-16,,,-0.01,-0.01,17.6,-0.01,,,,
2011-05-17,,,-0.01,-0.01,17.6,-0.01,,,,
2011-05-18,,,-0.01,-0.01,17.6,-0.01,,,,
2011-05-19,,,-0.01,-0.01,17.6,-0.01,,,,
2011-05-20,,,-0.01,-0.01,17.6,-0.01,,,,
2011-05-21,,,-0.01,-0.01,17.6,-0.01,,,,
2011-05-22,,,-0.01,-0.01,17.6,-0.01,,,,
2011-05-23,,,-0.01,-0.01,17.6,-0.01,,,,
2011-05-24,,,-0.01,-0.01,17.6,-0.01,,,,
2011-05-25,,,-0.01,-0.01,17.6,-0.01,,,,
2011-05-26,,,-0.01,-0.01,17.6,-0.01,,,,
2011-05-27,,,-0.01,-0.01,17.6,-0.01,,,,
2011-05-28,,,-0.01,-0.01,17.6,-0.01,,,,
2011-05-29,,,-0.01,-0.01,17.6,-0.01,,,,
2011-05-30,,,-0.01,-0.01,17.6,-0.01,,,,
2011-05-31,,,-0.01,-0.01,17.6,-0.01,,,,
2011-06-01,,,-0.01,-0.01,17.6,-0.01,,,,
2011-06-02,,,-0.01,-0.01,17.6,-0.01,,,,
2011-06-03,,,-0.01,-0.01,17.6,-0.01,,,,
2011-06-04,,,-0.01,-0.01,17.6,-0.01,,,,
2011-06-05,,,-0.01,-0.01,17.6,-0.01,,,,
2011-06-06,,,-0.01,-0.01,17.6,-0.01,,,,
2011-06-07,,,-0.01,-0.01,17.6,-0.01,,,,
2011-06-08,,,-0.01,-0.01,17.6,-0.01,,,,
